FLIGHT LOG
t, z, x, theta, rpm1, rpm2, v_z, v_x, omega, pred_theta, del_rpm
159.000, -3163.277, 0.000, 0.000, 25.311, 25.311, -15.00, 0.00, 0.00, 0.000, 0.000
160.000, -3183.157, 0.000, 0.000, 25.630, 25.630, -15.00, 0.00, 0.00, 0.000, 0.000
161.000, -3203.037, 0.000, 0.000, 25.950, 25.950, -15.00, 0.00, 0.00, 0.000, 0.000
162.000, -3222.916, 0.000, 0.000, 26.272, 26.272, -15.00, 0.00, 0.00, 0.000, 0.000
163.000, -3242.795, 0.000, 0.000, 26.597, 26.597, -15.00, 0.00, 0.00, 0.000, 0.000
164.000, -3262.673, 0.000, 0.000, 26.923, 26.923, -15.00, 0.00, 0.00, 0.000, 0.000
165.000, -3282.552, 0.000, 0.000, 27.251, 27.251, -15.00, 0.00, 0.00, 0.000, 0.000
166.000, -3302.430, 0.000, 0.000, 27.581, 27.581, -15.00, 0.00, 0.00, 0.000, 0.000
167.000, -3322.307, 0.000, 0.000, 27.914, 27.914, -15.00, 0.00, 0.00, 0.000, 0.000
168.000, -3342.185, 0.000, 0.000, 28.248, 28.248, -15.00, 0.00, 0.00, 0.000, 0.000
169.000, -3362.062, 0.000, 0.000, 28.584, 28.584, -15.00, 0.00, 0.00, 0.000, 0.000
170.000, -3381.938, 0.000, 0.000, 28.922, 28.922, -15.00, 0.00, 0.00, 0.000, 0.000
171.000, -3401.814, 0.000, 0.000, 29.263, 29.263, -15.00, 0.00, 0.00, 0.000, 0.000
172.000, -3421.690, 0.000, 0.000, 29.605, 29.605, -15.00, 0.00, 0.00, 0.000, 0.000
173.000, -3441.566, 0.000, 0.000, 29.949, 29.949, -15.00, 0.00, 0.00, 0.000, 0.000
174.000, -3461.441, 0.000, 0.000, 30.295, 30.295, -15.00, 0.00, 0.00, 0.000, 0.000
175.000, -3481.316, 0.000, 0.000, 30.643, 30.643, -15.00, 0.00, 0.00, 0.000, 0.000
176.000, -3501.191, 0.000, 0.000, 30.993, 30.993, -15.00, 0.00, 0.00, 0.000, 0.000
177.000, -3521.065, 0.000, 0.000, 31.345, 31.345, -15.00, 0.00, 0.00, 0.000, 0.000
178.000, -3540.939, 0.000, 0.000, 31.700, 31.700, -15.00, 0.00, 0.00, 0.000, 0.000
179.000, -3560.813, 0.000, 0.000, 32.056, 32.056, -15.00, 0.00, 0.00, 0.000, 0.000
180.000, -3580.686, 0.000, 0.000, 32.414, 32.414, -15.00, 0.00, 0.00, 0.000, 0.000
181.000, -3600.559, 0.000, 0.000, 32.774, 32.774, -15.00, 0.00, 0.00, 0.000, 0.000
182.000, -3620.431, 0.000, 0.000, 33.136, 33.136, -15.00, 0.00, 0.00, 0.000, 0.000
183.000, -3640.303, 0.000, 0.000, 33.500, 33.500, -15.00, 0.00, 0.00, 0.000, 0.000
184.000, -3660.175, 0.000, 0.000, 33.866, 33.866, -15.00, 0.00, 0.00, 0.000, 0.000
185.000, -3680.046, 0.000, 0.000, 34.234, 34.234, -15.00, 0.00, 0.00, 0.000, 0.000
